?item	?item_label
<http://www.github.com/srebirth/entity/Q400222>	"Ahfad University for Women"@en
<http://www.github.com/srebirth/entity/Q3312056>	"Akobo Airport"@en
<http://www.github.com/srebirth/entity/Q32202323>	"Al Ada Umm Jilod"@en
<http://www.github.com/srebirth/entity/Q32202336>	"Al Adda Um Tawari"@en
<http://www.github.com/srebirth/entity/Q4702156>	"Al Ahli SC (Khartoum)"@en
<http://www.github.com/srebirth/entity/Q1754253>	"Al Dabbah"@en
<http://www.github.com/srebirth/entity/Q4703811>	"Al Fashir University"@en
<http://www.github.com/srebirth/entity/Q32202448>	"Al Fēd Al A‘awaj"@en
<http://www.github.com/srebirth/entity/Q32202462>	"Al Gasur"@en
<http://www.github.com/srebirth/entity/Q32202477>	"Al Gharaza"@en
<http://www.github.com/srebirth/entity/Q32202499>	"Al Hamra"@en
<http://www.github.com/srebirth/entity/Q3720937>	"Al Jabalayn"@en
<http://www.github.com/srebirth/entity/Q309469>	"Al Jazirah"@en
<http://www.github.com/srebirth/entity/Q32202613>	"Al Karab"@en
<http://www.github.com/srebirth/entity/Q264506>	"Al Khartoum SC"@en
<http://www.github.com/srebirth/entity/Q32202733>	"Al Mashei Sha"@en
<http://www.github.com/srebirth/entity/Q4704456>	"Al Mirghani ESC"@en
<http://www.github.com/srebirth/entity/Q16826609>	"Al Neel SC"@en
<http://www.github.com/srebirth/entity/Q4119276>	"Al Nile SC"@en
<http://www.github.com/srebirth/entity/Q309478>	"Al Qadarif"@en
<http://www.github.com/srebirth/entity/Q311199>	"Al Qadarif"@en
<http://www.github.com/srebirth/entity/Q16826613>	"Al Rabita Kosti"@en
<http://www.github.com/srebirth/entity/Q32202914>	"Al Ubaytir"@en
<http://www.github.com/srebirth/entity/Q32202926>	"Al Wadi al Hay"@en
<http://www.github.com/srebirth/entity/Q15626885>	"Al-Ahli Club (Atbara)"@en
<http://www.github.com/srebirth/entity/Q2118582>	"Al-Ahli SC"@en
<http://www.github.com/srebirth/entity/Q618522>	"Al-Ahly Shendi"@en
<http://www.github.com/srebirth/entity/Q4702326>	"Al-Damazin Farms"@en
<http://www.github.com/srebirth/entity/Q311204>	"Al-Fashir"@en
<http://www.github.com/srebirth/entity/Q4702402>	"Al-Foula"@en
<http://www.github.com/srebirth/entity/Q290849>	"Al-Fulah"@en
<http://www.github.com/srebirth/entity/Q284461>	"Al-Hilal Club"@en
<http://www.github.com/srebirth/entity/Q16826672>	"Al-Hilal ESC"@en
<http://www.github.com/srebirth/entity/Q987240>	"Al-Hilal SC"@en
<http://www.github.com/srebirth/entity/Q4702519>	"Al-Hilal SC Kadougli"@en
<http://www.github.com/srebirth/entity/Q287268>	"Al-Hilal Stadium"@en
<http://www.github.com/srebirth/entity/Q2118601>	"Al-Ittihad SC"@en
<http://www.github.com/srebirth/entity/Q4702891>	"Al-Merreikh Al-Thagher"@en
<http://www.github.com/srebirth/entity/Q284659>	"Al-Merreikh SC"@en
<http://www.github.com/srebirth/entity/Q15933830>	"Al-Merreikh SC (Al-Fasher)"@en
<http://www.github.com/srebirth/entity/Q2829383>	"Al-Merreikh Stadium"@en
<http://www.github.com/srebirth/entity/Q2829243>	"Al-Mourada SC"@en
<http://www.github.com/srebirth/entity/Q4703032>	"Al-Nsoor"@en
<http://www.github.com/srebirth/entity/Q4703225>	"Al-Shamali AC"@en
<http://www.github.com/srebirth/entity/Q309475>	"Al-Ubayyid"@en
<http://www.github.com/srebirth/entity/Q30335929>	"Al-Ubayyid Stadium"@en
<http://www.github.com/srebirth/entity/Q15648560>	"AlMughtaribeen University"@en
<http://www.github.com/srebirth/entity/Q2840931>	"Alamal SC Atbara"@en
<http://www.github.com/srebirth/entity/Q12190454>	"Alamart"@en
<http://www.github.com/srebirth/entity/Q4723963>	"Algazira Stadium"@en
<http://www.github.com/srebirth/entity/Q140020>	"Alkandaria"@en
<http://www.github.com/srebirth/entity/Q12194087>	"Almorada"@en
<http://www.github.com/srebirth/entity/Q449639>	"Alodia"@en
<http://www.github.com/srebirth/entity/Q4736691>	"Altigany Almahy Hospital"@en
<http://www.github.com/srebirth/entity/Q4738816>	"Alzaiem Alazhari University"@en
<http://www.github.com/srebirth/entity/Q16827808>	"Ambigol"@en
<http://www.github.com/srebirth/entity/Q32225522>	"An Nīl"@en
<http://www.github.com/srebirth/entity/Q2480948>	"Angereb River"@en
<http://www.github.com/srebirth/entity/Q32233123>	"Aqabat Firekt"@en
<http://www.github.com/srebirth/entity/Q657012>	"Ar Rahad"@en
<http://www.github.com/srebirth/entity/Q32233232>	"Ar Rejelia al Hemeira"@en
<http://www.github.com/srebirth/entity/Q4784528>	"Arawala"@en
<http://www.github.com/srebirth/entity/Q12179334>	"Arbaji"@en
<http://www.github.com/srebirth/entity/Q3962345>	"Archaeological Sites of the Island of Meroe"@en
<http://www.github.com/srebirth/entity/Q4789629>	"Argo Island"@en
<http://www.github.com/srebirth/entity/Q32286008>	"Ash Shag Umm Kazam"@en
<http://www.github.com/srebirth/entity/Q6391832>	"Ash Showak"@en
<http://www.github.com/srebirth/entity/Q32288977>	"At Taru"@en
<http://www.github.com/srebirth/entity/Q1301933>	"Atbara Airport"@en
<http://www.github.com/srebirth/entity/Q753906>	"Atbarah"@en
<http://www.github.com/srebirth/entity/Q753897>	"Atbarah River"@en
<http://www.github.com/srebirth/entity/Q2903017>	"Aweil Airport"@en
<http://www.github.com/srebirth/entity/Q32295897>	"Aw‘ar Anz ar Ril"@en
<http://www.github.com/srebirth/entity/Q32296499>	"Ayadi Umat Dilq"@en
<http://www.github.com/srebirth/entity/Q32296472>	"Ayadi el Nadayanat"@en
<http://www.github.com/srebirth/entity/Q32296478>	"Ayadi el Qosa"@en
<http://www.github.com/srebirth/entity/Q794427>	"Azza Transport"@en
<http://www.github.com/srebirth/entity/Q32300075>	"Aţ Ţawīla"@en
<http://www.github.com/srebirth/entity/Q4116057>	"Babanusa"@en
<http://www.github.com/srebirth/entity/Q3632771>	"Badi, Sudan"@en
<http://www.github.com/srebirth/entity/Q4840930>	"Badien Island"@en
<http://www.github.com/srebirth/entity/Q153506>	"Bahr al-Arab"@en
<http://www.github.com/srebirth/entity/Q32308967>	"Bahr el ‘Arab"@en
<http://www.github.com/srebirth/entity/Q35350927>	"Bakhit"@en
<http://www.github.com/srebirth/entity/Q17004646>	"Bangladesh–Sudan relations"@en
<http://www.github.com/srebirth/entity/Q190236>	"Bank of Sudan"@en
<http://www.github.com/srebirth/entity/Q12195873>	"Bant"@en
<http://www.github.com/srebirth/entity/Q614453>	"Barah"@en
<http://www.github.com/srebirth/entity/Q32448026>	"Baraka"@en
<http://www.github.com/srebirth/entity/Q4858252>	"Barakat, Sudan"@en
<http://www.github.com/srebirth/entity/Q808239>	"Barka River"@en
<http://www.github.com/srebirth/entity/Q32467164>	"Bathat Abū Sifēfa"@en
<http://www.github.com/srebirth/entity/Q32467171>	"Bathat Al Kiwēk"@en
<http://www.github.com/srebirth/entity/Q32467178>	"Bathat Kēgā Timēro"@en
<http://www.github.com/srebirth/entity/Q35351934>	"Bathat Umm Drafy"@en
<http://www.github.com/srebirth/entity/Q4869432>	"Batn-El-Hajar"@en
<http://www.github.com/srebirth/entity/Q4874272>	"Bayan College for Science & Technology"@en
<http://www.github.com/srebirth/entity/Q812630>	"Bayuda Desert"@en
<http://www.github.com/srebirth/entity/Q2892737>	"Bayuda Volcanic Field"@en
<http://www.github.com/srebirth/entity/Q35352248>	"Baḩr Bela Mâ"@en
<http://www.github.com/srebirth/entity/Q35352262>	"Baḩr Sarjayn"@en
<http://www.github.com/srebirth/entity/Q35352276>	"Baḩr Umm Surein"@en
<http://www.github.com/srebirth/entity/Q4881046>	"Beida, Sudan"@en
<http://www.github.com/srebirth/entity/Q33025>	"Beja"@en
<http://www.github.com/srebirth/entity/Q375935>	"Berber, Sudan"@en
<http://www.github.com/srebirth/entity/Q35352793>	"Bi'r Tiloief"@en
<http://www.github.com/srebirth/entity/Q32497078>	"Birgaw"@en
<http://www.github.com/srebirth/entity/Q35353305>	"Bittia"@en
<http://www.github.com/srebirth/entity/Q882739>	"Blue Nile"@en
<http://www.github.com/srebirth/entity/Q309489>	"Blue Nile"@en
<http://www.github.com/srebirth/entity/Q4929571>	"Blue Nile University"@en
<http://www.github.com/srebirth/entity/Q4940336>	"Boma Plateau"@en
<http://www.github.com/srebirth/entity/Q16209296>	"Bor massacre"@en
<http://www.github.com/srebirth/entity/Q35355271>	"Bowanin"@en
<http://www.github.com/srebirth/entity/Q10359086>	"Brazil–Sudan relations"@en
<http://www.github.com/srebirth/entity/Q4996363>	"Bulgaria–Sudan relations"@en
<http://www.github.com/srebirth/entity/Q32830768>	"Burdana Dam"@en
<http://www.github.com/srebirth/entity/Q35355726>	"Bureikat"@en
<http://www.github.com/srebirth/entity/Q34741177>	"Burns Reef"@en
<http://www.github.com/srebirth/entity/Q5000276>	"Buronga, Sudan"@en
<http://www.github.com/srebirth/entity/Q2928605>	"Burri Khartoum"@en
<http://www.github.com/srebirth/entity/Q35355781>	"Buta Raya"@en
<http://www.github.com/srebirth/entity/Q490672>	"Butana"@en
<http://www.github.com/srebirth/entity/Q5002350>	"Butana plain"@en
